Name,Email,Phone Number,"Origin (City, State)",Website URL,Category,Verified Status
Asylum Nightclub,,(478) 254-2053,"Macon, GA",https://asylumnightclub.com/,undefined,CLAIMED
Alexander's Great BBQ,,7062674720,"Augusta, GA",https://alexandersgreatbbq.com/,undefined,CLAIMED
Aztec's Sports Bar & Grill,,(907) 696-6696,"Eagle River, AK",https://aztecsportsbar.com/,undefined,CLAIMED
Union Jack,,920-731-7393,"Appleton, WI",https://unionjackwi.com/,Bars,CLAIMED
FoozeOn,,,"Asbury Park, NJ",,Restaurants,CLAIMED
Lee's Hill Catering,,5403792722,"Fredericksburg, VA",https://leeshillcatering.com/,Caterers,CLAIMED
twisted RAnCh,,(314) 833-3450,"Saint Louis, MO",https://twistedranch.com/,American Restaurants,CLAIMED
Pizzarro,,(202) 332-0011,"Washington, DC",https://pizzarro.com/,Pizza,CLAIMED
Saffron Restaurant And Lounge,,(612) 746-5533,"Minneapolis, MN",https://saffronrestaurant.com/,Restaurants,CLAIMED
Get It On A Bun,,5029356131,"Louisville, KY",,Hot Dog Stands,CLAIMED
Norris Seafood,,4105746759,"Essex, MD",https://norrisseafood.com/,Seafood Restaurants,CLAIMED
The Brixton,,(773) 961-7358,"Chicago, IL",https://thebrixton.com/,American Restaurants,CLAIMED
Touche Euro Lounge,,(209) 476-1514,"Stockton, CA",https://toucheeuro.com/,undefined,CLAIMED
Zweet Temtations,,7872222243,"Toa Alta, PR",,undefined,CLAIMED
Sweet and Savory Gourmet,,678-310-7674,"Atlanta, GA",https://sweetandsavorygourmet.com/,undefined,CLAIMED
Iscreamery LLC,,201 383 0818,"Hillsdale, NJ",,undefined,CLAIMED
Maria's Island Restaurant,,,"Hephzibah, GA",,Restaurants,CLAIMED
Skadi Inc,,7609140962,"Mammoth Lakes, CA",https://skadiinc.com/,French Restaurants,CLAIMED
Tom's Famous Family Restaurants,,(626) 579-5750,"South El Monte, CA",https://tomsfamous.com/,undefined,CLAIMED
Burger Joint,,,,,,
SOHO CAFE INC,,6123777996,"Minneapolis, MN",,undefined,CLAIMED
Let Me Cook,,7604498746,"Palm Springs, CA",https://letmekook.com/,Independent Family Restaurants,CLAIMED
Wise Guys Philly Cheesesteak,,925-443-4897,"Livermore, CA",https://wiseguysphilly.com/,undefined,CLAIMED
StarOfService,,(617) 849-8528,"Ashland, KY",https://starofservice.com/,undefined,CLAIMED
Mumtaz India Restaurant,,2128794797,"New York, NY",https://mumtazindia.com/,Indian Restaurants,CLAIMED
Kajun Korner Express,,(337) 534-0491,"Lafayette, LA",https://kajunkorner.com/,undefined,CLAIMED
Jaffa City Cafe,,6509947950,"Colma, CA",https://jaffacitycafe.com/,Sandwiches,CLAIMED
The Fireside Tap & Grill,,(269) 414-4103,"Edwardsburg, MI",https://firesidetap.com/,undefined,CLAIMED
JB'S CAFE,,706-653-4070,"Columbus, GA",,undefined,CLAIMED
Princeton Lanes and Lounge,,(763) 389-5658,"Princeton, MN",https://princetonlanes.com/,Bars and Lounges,CLAIMED
Crown Fried Chicken,,7183025141,"Brooklyn, NY",https://crownfriedchicken.com/,Chicken Restaurants,CLAIMED
Pistol Petes Catering Co,,6788471887,"McDonough, GA",https://pistolpetescatering.com/,Restaurants,CLAIMED
Royal Fish Shrimp-chicken Inc,,614-429-6002,"Columbus, OH",https://royalfishshrimp.com/,undefined,CLAIMED
Onassis Coney Island Inc,,3132229999,"Detroit, MI",https://onaissonconeyisland.com/,Restaurants,CLAIMED
Schlotzsky's Deli,,5123322867,"Bastrop, TX",https://schlotzkys.com/,Delicatessens,CLAIMED
Ready Room Restaurant & Lounge,,,"Aurora, CO",,Cocktail Lounges,CLAIMED
Cajun Gator,,(808) 841-2256,"Honolulu, HI",https://cajun-gator.com/,undefined,CLAIMED
Roanoke Grill & Tavern,,(817) 490-0099,"Roanoke, TX",https://roanokegrill.com/,undefined,CLAIMED
Basement Lounge,,5629019090,"Long Beach, CA",https://basementlounge.com/,Cocktail Lounges,CLAIMED
Gold Leaf Gourmet,,1.844.438.1581,"Gaithersburg, MD",https://goldleafgourmet.com/,Dessert Preparations,CLAIMED
Adelitas Cocina y Cantina,,303-778-1294,"Denver, CO",https://adelitasdenver.com/,Restaurants,CLAIMED
Pizza On Earth,,(815) 394-0391,"Rockford, IL",https://pizzaonearth.com/,undefined,CLAIMED
Skydine Services,,(701) 356-2124,"Hector International Airport, Fargo, ND",,undefined,CLAIMED
Basil's Sports Bar And Grill,,3049144478,"Weirton, WV",https://basilssportsbar.com/,Food Bars,CLAIMED
LA Bamba Grill,,2056377331,"Birmingham, AL",https://labambagrill.com/,Mexican Restaurants,CLAIMED
"Guerrieri Management, Inc",,2395733674,"Cape Coral, FL",,Chain Fast Food Restaurants,CLAIMED
The Sands Catering Hall,,516-432-3200,"Lido Beach, NY",https://thesandscatering.com/,undefined,CLAIMED
Reese S Drive In,,2052212394,"Jasper, AL",,Drive-In Restaurants,CLAIMED
Creative Staffing,,(770) 813-8011,"Duluth, GA",,undefined,CLAIMED
Ray Ray's BBQ,,915-252-5619,"El Paso, TX",https://rayraysbbq.com/,Barbecue,CLAIMED
Malone's Steak & Seafood,,4047625577,"Atlanta, GA",https://malonessteak.com/,Grills (Eating Places),CLAIMED
Montville Diner,,(973) 575-0326,"Pine Brook, NJ",,undefined,CLAIMED
Mantraa Bar & Grill LLC,,(254) 968-4904,"Stephenville, TX",https://mantraabar.com/,undefined,CLAIMED
Oswego Grill,,5033524750,"Lake Oswego, OR",https://oswegogrill.com/,Grills (Eating Places),CLAIMED
willmarth llc,,(571) 291-3005,"Ashburn, VA",,undefined,CLAIMED
Kofemi Catering,,(202)459-7928,"Gaithersburg, MD",https://kofemicatering.com/,Caterers,CLAIMED
Bert's Cafe & Grill,,4357349544,"Brigham City, UT",https://bertscafe.com/,Cafes,CLAIMED
Good Times Entertainment,,(708) 925-9237,"Blue Island, IL",,undefined,CLAIMED
Lory's Lakeside,,,"North Brunswick, NJ",,Restaurants,CLAIMED
Tacos El Ranchero,,8015391513,"Salt Lake City, UT",https://tacoselranchero.com/,Mexican Restaurants,CLAIMED
Famous Joe (Bellissimo) Pizza And Cafe,,,"East Brunswick, NJ",,Pizza,CLAIMED
Am Resturant,,5865520032,"Warren, MI",,Restaurants,CLAIMED
Medieval Times Dinner & Tourn,,4437550011,"Hanover, MD",https://medievaltimes.com/,Dinner Theatres,CLAIMED
D's 1600 Club,,6822310657,"Fort Worth, TX",,Night Clubs,CLAIMED
Mama Mia Cuisine,,8656919100,"Knoxville, TN",https://mamamiacuisine.com/,Pizza,CLAIMED
Vito's Restaurant,,3055097716,"Key West, FL",https://vitosthebest.com/,Pizza,CLAIMED
Martin's Restaurant,,8434491368,"Myrtle Beach, SC",https://martinsrestaurant.com/,Ethnic Food Restaurants,CLAIMED
Coco's Club and Pub,,,"Gastonia, NC",,undefined,CLAIMED
Hibiscus Cafe,,954-533-7224,"Fort Lauderdale, FL",https://hibiscuscafe.com/,undefined,CLAIMED
Portside Pub,,4106825580,"Essex, MD",https://portsidepub.com/,Pubs,CLAIMED
Fatoush Mediterranean Grill & Cafe,,(832) 593-7771,"Houston, TX",https://fatoush.com/,Restaurants,CLAIMED
Ohrt's Smokehouse Bbq LLC,,3192315236,"Ionia, IA",https://ohrtsbbq.com/,undefined,CLAIMED
Daves2Catering,,314-560-5576,"Saint Louis, MO",https://daves2catering.com/,Caterers,CLAIMED
Arezzo,,(203) 557-9375,"Westport, CT",https://arezzorestaurant.com/,Italian Restaurants,CLAIMED
"Golden Eagle Foods, Inc",,970 353-0975,"Greeley, CO",,undefined,CLAIMED
Port Bistro,,3606428447,"Ilwaco, WA",https://portbistro.com/,Restaurants,CLAIMED
Elkton Country Cafe,,4172825800,"Flemington, MO",https://elktoncountrycafe.com/,Family Restaurants,CLAIMED
Group Therapy,,715-478-2441,"Crandon, WI",,Food Bars,CLAIMED
Cafe Mantic,,(860) 423-4243,"Willimantic, CT",https://cafemantic.com/,undefined,CLAIMED
Il Piccolo Caffe,,6503484147,"Burlingame, CA",https://ilpiccolocaffe.com/,Coffee Shops,CLAIMED
Catering For You,,,"Hutchinson, KS",,undefined,CLAIMED
Pizza Mia,,,"New Brunswick, NJ",,Pizza,CLAIMED
Mystery and Mayhem Theater,,865-365-1327,"Pigeon Forge, TN",https://mysteryandmayhem.com/,undefined,CLAIMED
"Tiki Bob's Cantina, North 18th Street, Richmond, VA",,,"Richmond, VA",,Night Clubs,CLAIMED
Lady J'z,,7134347775,"Houston, TX",,Bars,CLAIMED
Mi Chula's Good Mexican,,(214) 619-5680,"Plano, TX",https://michulasgoodmexican.com/,undefined,CLAIMED
Camille's Sidewalk Cafe,,9182995997,"Tulsa, OK",https://camillescafe.com/,Cafes,CLAIMED
The Eatery by Ryan,,2392885851,"Fort Myers, FL",https://theeaterybyryan.com/,Cafes,CLAIMED
America's Sports Bar & Grill,,8642836414,"Greenville, SC",https://americassportsbar.com/,Drinking Places,CLAIMED
Felicia Thornton,,(904) 470-9845,"Jacksonville, FL",,undefined,CLAIMED
HALAL AND PURE LLC,,7028689096,"Las Vegas, NV",,Family Restaurants,CLAIMED
Burger King Holdings Inc,,3053783000,"Miami, FL",https://www.burgerking.com/,Chain Fast Food Restaurants,CLAIMED
Papa Chuck's,,(740) 452-6303,"Zanesville, OH",,undefined,CLAIMED
Krystal Corporation,,,"Omaha, NE",,undefined,CLAIMED
Sportsman Bar,,951-277-2706,"Corona, CA",,Pubs,CLAIMED
Dickey's,,6612510840,"Santa Clarita, CA",https://www.dickies.com/,Steak and Barbecue Restaurants,CLAIMED
Hot Dog on a Stick,,808-871-8696,"Kahului, HI",https://www.hotdogonastick.com/,Hot Dog Stands,CLAIMED
The Spot,,4692975298,"Desoto, TX",,Bars,CLAIMED
Fukami Sushiya,,971-202-2864,"Portland, OR",https://fukamisushiya.com/,Japanese Restaurants,CLAIMED
Amici Pizzeria,,425-896-8327,"Kirkland, WA",https://amicipizzeria.com/,undefined,CLAIMED
Clubs in NYC Nightlife Pass - Enter All Night Clubs,,646-921-4611,"New York, NY",https://clubsinnyc.com/,Night Clubs,CLAIMED
Vaping bar,,,"Los Angeles, CA",,Bars,CLAIMED
Kaleo Cafe & Bakery LLC,,316-835-2899,"Halstead, KS",https://kaleocafe.com/,undefined,CLAIMED
"Splash Bar, LLC",,(408) 993-0861,"San Jose, CA",https://splashbar.com/,undefined,CLAIMED
"The Bite Toffee Company, LLC",,7852728316,"Topeka, KS",https://thebitetoffee.com/,Restaurants,CLAIMED
McMenamins Corvallis Pub,,(541)758-6044,"Corvallis, OR",https://mcmenamins.com/,undefined,CLAIMED
Planks Seafood Grill,,2542267835,"Killeen, TX",https://plankssa.com/,Seafood Restaurants,CLAIMED
South Fork Texas,,(972) 423-7235,"Murphy, TX",https://southforktexas.com/,Steak Restaurants,CLAIMED
Ken's House of Pancakes,,(808) 935-8711,"Hilo, HI",https://kenshouseofpancakes.com/,undefined,CLAIMED
Hot Dog on a Stick,,(209) 839-0967,"Tracy, CA",https://www.hotdogonastick.com/,Restaurants,CLAIMED
Brigett's Last Laugh,,(602) 788-0507,"Phoenix, AZ",https://brigettslastlaugh.com/,undefined,CLAIMED
Possum Ridge Bbq LLC,,8506894334,"Crestview, FL",https://possumridgebbq.com/,Barbecue,CLAIMED
Top Flight Bbq LLC,,865-405-8644,"Stephenson, VA",https://topflightbbq.com/,undefined,CLAIMED
Beach Bettys,,(954)921-9893,"Dania Beach, FL",https://beachbettys.com/,Bars,CLAIMED
Buckhorn Bar & Grill,,9202954321,"Princeton, WI",https://buckhornbar.com/,undefined,CLAIMED
The Catering Company,,(716) 485-3114,"Hamburg, NY",https://thecateringcompany.com/,Caterers,CLAIMED
"Balvo, LLC",,5034457400,"Portland, OR",,American Restaurants,CLAIMED
Herbs Catering,,(239) 216-2685,"Naples, FL",https://herbscatering.com/,undefined,CLAIMED
nono,,,"Brooklyn, PA",,Restaurants,CLAIMED
Beyond Basil Catering Inc,,(406) 256-0830,"Billings, MT",https://beyondbasil.com/,undefined,CLAIMED
Comedy @ The Crib,,313-739-8747,"Pontiac, MI",https://comedyatthecrib.com/,undefined,CLAIMED
Simply Delicious Cuisine Catering,,773 785-2000,"Chicago, IL",https://simplydeliciouscuisine.com/,undefined,CLAIMED
Thai Paradise,,(614 920-6005,"Pickerington, OH",https://thaiparadise.com/,undefined,CLAIMED
Party City,,205-889-3682,"Birmingham, AL",https://www.partycity.com/,Frozen Yogurt Stands,CLAIMED
Moynagh's Tavern Inc,,(508) 753-9686,"Worcester, MA",https://moynaghs.com/,undefined,CLAIMED
The Border Restaurant,,(970)686-1217,"Windsor, CO",https://theborderrestaurant.com/,undefined,CLAIMED
Hungry Howie's,,7344220333,"Westland, MI",https://www.hungryhowies.com/,Chain Pizzerias,CLAIMED
Mango Tree Restaurant,,(321) 799-2600,"Cocoa Beach, FL",https://mangotreerestaurant.com/,undefined,CLAIMED
Guatemala,,7704526408,"Atlanta, GA",,Restaurants,CLAIMED
Satellite Pizza,,6314723800,"Bayport, NY",https://satellitepizza.com/,Pizza,CLAIMED
Doumar's Cones & Barbecue,,7576274163,"Norfolk, VA",https://doumars.com/,Barbecue,CLAIMED
Budget Ballin Chicago,,(206) 376-8756,"Berwyn, IL",,Bars,CLAIMED
Stir It Up Bartending,,(949) 413-9230,"Los Angeles, CA",https://stiritupbartending.com/,Bars,CLAIMED
Hcl Inc,,3193664748,"Cedar Rapids, IA",,Bars,CLAIMED
Selma Restaurant Oasis Steakhouse & Grill,,(334) 526-2601,"Selma, AL",https://selmaoasis.com/,undefined,CLAIMED
Murder Mystery Texas,,972-263-5178,"Dallas, TX",https://murdermysterytexas.com/,Restaurants,CLAIMED
Cranberry's Gourmet Cafe,,,"Cranbury, NJ",,Restaurants,CLAIMED
Backwoods Pub & Grill,,(715) 276-1700,"Townsend, WI",https://backwoodspub.com/,Restaurants,CLAIMED
Excellent Kettle Corn,,,"Bellingham, WA",https://excellentkettlecorn.com/,undefined,CLAIMED
Blue Moon Bell LLC,,4052832583,"Falls Church, VA",,Restaurants,CLAIMED
Kandy Subway Inc,,5134940217,"Maineville, OH",,Sandwiches,CLAIMED
The Wooden Spoon,,913-345-9849,"Overland Park, KS",https://thewoodenspoon.com/,undefined,CLAIMED
Roadhouse Grill,,973-955-2628,"Red Bank, NJ",https://roadhousegrill.com/,Restaurants,CLAIMED
Rock the House Pub & Grill,,(920) 269-2233,"Brownsville, WI",https://rockthehouse.com/,undefined,CLAIMED
Jerry & Joe's Pizza,,3058215555,"Hialeah, FL",https://jerryandjoespizza.com/,Pizza,CLAIMED
A & G Club Dreams,,(713) 522-6140,"Houston, TX",,undefined,CLAIMED
Papa John's Pizza,,8123367272,"Bloomington, IN",https://www.papajohns.com/,Pizza,CLAIMED
Arrow Fast Foods,,8106393225,"Montrose, MI",,Chain Fast Food Restaurants,CLAIMED
Kinoyume Sushi & Grill,,858-999-0308,"La Jolla, CA",https://kinoyumesushi.com/,Restaurants,CLAIMED
Dickey's,,5037465299,"Beaverton, OR",https://www.dickies.com/,Steak and Barbecue Restaurants,CLAIMED
TNT Yogurt,,616-796-8900,"Holland, MI",https://tntyogurt.com/,Frozen Yogurt Stands,CLAIMED
Greenies,,5138313400,"Milford, OH",,Bars,CLAIMED
Mc Donald's,,(770) 973-1125,"Marietta, GA",https://www.mcdonalds.com/,undefined,CLAIMED
Bigg Mans Bbq,,678-973-2561,"Atlanta, GA",,undefined,CLAIMED
Rock City Grill,,(509)455-4400,"Spokane, WA",https://rockcitygrill.com/,Grills (Eating Places),CLAIMED
Sugies Meditterrenean Cafe,,(386)295-1925,"Daytona Beach, FL",https://sugiescafe.com/,undefined,CLAIMED
Sushi-Rama,,(720) 476-4643,"Denver, CO",https://sushirama.com/,Restaurants,CLAIMED
A’dar Lounge,,(646) 559-5372,"New York, NY",https://adarlounge.com/,Bars,CLAIMED
Zest Catering & Events,,,"Los Angeles, CA",,undefined,CLAIMED
Sertinos Cafe,,(520) 760-0651,"Tucson, AZ",,undefined,CLAIMED
Truffle & Basil Private Chef Group & Chef Consultant,,(800)-659-5308,"Brooklyn, NY",https://truffleandbasil.com/,undefined,CLAIMED
Zuni,,2127657626,"New York, NY",https://zuni.com/,Restaurants,CLAIMED
Villa Venafro Restaurant,,(231) 894-9830,"Montague, MI",https://villavenafro.com/,undefined,CLAIMED
"Arrows of Tecumseh, LLC",,(405) 598-0555,"Tecumseh, OK",,undefined,CLAIMED
MAHDMarketing,,425-773-4854,"kirkland, WA",,Restaurants,CLAIMED
Stirling Books & Brew,,517-629-7560,"Albion, MI",https://stirlingbooksandbrew.com/,Coffee Shops,CLAIMED
Redwood Chinese Restaurant,,9319060388,"Clarksville, TN",,Chinese Restaurants,CLAIMED
Koffee Haus,,614 232-2233,"Columbus, OH",,undefined,CLAIMED
Comes Investments,,515-330-1172,"West Des Moines, IA",,Pizza,CLAIMED
Amigo Mexican Restaurant,,423-543-1711,"Elizabethton, TN",https://amigomexican.com/,undefined,CLAIMED
Vinyl Doctor,,(816) 244-0240,"Independence, MO",https://vinyldoctor.com/,Restaurants,CLAIMED
Komfort By Keewee,,5852848902,"Rochester, NY",https://komfortbykeewee.com/,Caterers,CLAIMED
TheFunnelCakeTruck,,9136369647,"Olathe, KS",https://thefunnelcaketrick.com/,Caterers,CLAIMED
Speals Tavern,,(724) 433-1322,"New Alexandria, PA",https://spealstavern.com/,Pubs,CLAIMED
Hudson Grille,,4042330313,"Atlanta, GA",https://hudsongrille.com/,Grills (Eating Places),CLAIMED
Leaning Tower Pizzeria,,(850) 942-9904,"Tallahassee, FL",https://leaningtowerpizza.com/,undefined,CLAIMED
Anthony Estate Of Slysz,,(570) 457-7526,"Avoca, PA",,undefined,CLAIMED
Randy White Hall of Fame Bbq,,9723770540,"Frisco, TX",https://randywhitebbq.com/,Grills (Eating Places),CLAIMED
Baguette DE France,,(269) 983-9595,"Saint Joseph, MI",https://baguettedefrance.com/,undefined,CLAIMED
Subway,,(951) 699-6174,"Temecula, CA",https://www.subway.com/,undefined,CLAIMED
Harold's Restaurant,,(864) 489-9153,"Gaffney, SC",https://haroldsrestaurant.com/,American Restaurants,CLAIMED
Eno Terra,,,"Kingston, NJ",,Restaurants,CLAIMED
Sears,,7186180883,"Brooklyn, NY",,Restaurants,CLAIMED
Longboard Larry's Deli,,8508626011,"Fort Walton Beach, FL",https://longboardlarrys.com/,undefined,CLAIMED
"Sternbach Holdings, LLC",,3473854551,"New York, NY",,Restaurants,CLAIMED
Main Station Restaurant Bar & Grill,,(815)539-7011,"Mendota, IL",https://mainstationrestaurant.com/,Bars,CLAIMED
La Figa catering,,206 295 9393,"Seattle, WA",,undefined,CLAIMED
Supreme Diner,,(718) 618-9326,"Queensbury, NY",https://supremediner.com/,Restaurants,CLAIMED
Sye's Club,,5807652881,"Ponca City, OK",,Pubs,CLAIMED
Carson City Saloon,,4124813203,"Pittsburgh, PA",https://carsoncitysaloon.com/,Saloons,CLAIMED
Phil's Beef Jerky,,325-260-3214,"Tye, TX",https://philsbeefjerky.com/,Restaurants,CLAIMED
The Carbon Store,,2546393110,"Carbon, TX",,Cafes,CLAIMED
Jack in the Box,,6612524321,"Canyon Country, CA",https://www.jackinthebox.com/,Chain Fast Food Restaurants,CLAIMED
Red Velvet Lounge,,919-368-4719,"Raleigh, NC",https://redvelvetlounge.com/,undefined,CLAIMED
Boselli Investments LLC,,3034528894,"Northglenn, CO",,Chain Fast Food Restaurants,CLAIMED
Arte Cafe,,(562) 865-2783,"Cerritos, CA",https://artecafe.com/,undefined,CLAIMED
Rivers Edge Cafe,,(307) 265-5333,"Casper, WY",,undefined,CLAIMED
Di Angelo Pizza,,786-916-3323,"Miami Gardens, FL",https://diangelopizza.com/,Pizza,CLAIMED
Prima Pizza,,4805034444,"Gilbert, AZ",https://primapizza.com/,Pizza,CLAIMED
Hot Dog on a Stick,,(916) 788-0552,"Roseville, CA",https://www.hotdogonastick.com/,Restaurants,CLAIMED
CLOSED,,9282267777,"Levittown, NY",,Drinking Places,CLAIMED
Ridge Terrace Rstrnt-Cocktail,,(518) 656-9274,"Queensbury, NY",,undefined,CLAIMED
Lavish Cuisine,,210-339-2283,"San Antonio, TX",https://lavishcuisine.com/,Kosher Caterers,CLAIMED
Aj's Style Lounge LLC,,8174773983,"Mansfield, TX",,Cocktail Lounges,CLAIMED
Village Inn Pizza Parlor,,9287838353,"Yuma, AZ",https://villageinnpizza.com/,Pizza,CLAIMED
Fiesta Restaurant,,2033234300,"Stamford, CT",https://fiestarestaurant.com/,Restaurants,CLAIMED
Us Italian Food Box,,6466735139,"New York, NY",,Italian Food Products,CLAIMED
Hungry Howie's,,8106672000,"Lapeer, MI",https://www.hungryhowies.com/,Snack Foods,CLAIMED
Hungry Howie's,,2288634343,"Gulfport, MS",https://www.hungryhowies.com/,Chain Pizzerias,CLAIMED
DISH Restaurants,,844-355-7003,"Mobile, AL",https://dishrestaurants.com/,Restaurants,CLAIMED
The Cross World Coffee Inc,,9404953999,"Electra, TX",https://thecrossworldcoffee.com/,Coffee Shops,CLAIMED
Eclectic Catering LLC,,(980) 272-1563,"Charlotte, NC",https://eclecticcatering.com/,undefined,CLAIMED
Justice Nut Co,,(870) 538-9061,"Dermott, AR",,Wholesale Edible Nuts,CLAIMED
Goto's Pizza Inc,,2257787382,"Baton Rouge, LA",https://gotospizza.com/,Pizza,CLAIMED
Tubby's,,2483991722,"Hazel Park, MI",https://tubbys.com/,Seafood Restaurants,CLAIMED
Conrad And Son's Ltd,,7753973550,"Ely, NV",https://conradandsons.com/,Restaurants,CLAIMED
The Corner Carhop,,248) 668-3400,"Walled Lake, MI",,undefined,CLAIMED
Taj Mahal Restaurant,,(512) 837-4444,"Austin, TX",https://tajmahalrestaurant.com/,undefined,CLAIMED
Lakes Area Coffee News,,248-977-0923,"Waterford, MI",,undefined,CLAIMED
Bruno Brothers Pizza,,(330) 758-8045,"Youngstown, OH",https://brunobrotherspizza.com/,undefined,CLAIMED
Nona's Cafe,,972-722-1600,"Rockwall, TX",https://nonascafe.com/,undefined,CLAIMED
Kebab n’ Curry,,508-771-4420,"Hyannis, MA",https://kebabncurry.com/,Restaurants,CLAIMED
Q BBQ & Tequila,,215 625 8605,"Philadelphia, PA",,undefined,CLAIMED
Cactus Club,,(479) 783-7728,"Fort Smith, AR",https://cactusclub.com/,undefined,CLAIMED
Damon Scott Salon,,4802134500,"Scottsdale, AZ",https://damonscottsalon.com/,American Restaurants,CLAIMED
Jim's Management Company,,8164367141,"Kansas City, MO",,Chain Fast Food Restaurants,CLAIMED
Hill Tavern,,(617) 742-6192,"Boston, MA",,undefined,CLAIMED
Kebab & Curry,,3368868270,"High Point, NC",,undefined,CLAIMED
Silicon Valley Corporate Catering and Event Management,,6507767835,"Mountain View, CA",https://siliconvalleycatering.com/,undefined,CLAIMED
Blue Sky Food By the Pound,,3055514688,"Miami, FL",,Restaurants,CLAIMED
Columbia Ballroom,,(440) 236-8070,"Columbia Station, OH",https://columbiaballroom.com/,undefined,CLAIMED
Forksville Inn & Tavern Inc,,5709243916,"Forksville, PA",https://forksvilleinn.com/,Independent Family Restaurants,CLAIMED
Neighborhood Services Tavern,,2148272405,"Dallas, TX",,Pubs,CLAIMED
Dickey's,,5753922277,"Hobbs, NM",https://www.dickies.com/,Steak and Barbecue Restaurants,CLAIMED
Frederick's Wine & Dine,,216 869 9015,"Cleveland, OH",https://frederickswine.com/,undefined,CLAIMED
Hong Kong Chinese Food,,(845) 774-3608,"Monroe, NY",,undefined,CLAIMED
Carol's Cornerstone Cafe,,(317) 467-9014,"Greenfield, IN",,undefined,CLAIMED
Pisghetti's Cafe,,(615)216-6568,"Murfreesboro, TN",https://pisghettiscafe.com/,Cafes,CLAIMED
Local & Vine,,(215) 804-4020,"New York, NY",https://localandvine.com/,Italian Restaurants,CLAIMED
Gary's Grill,,512 247 4279,"Del Valle, TX",https://garysgrill.com/,Restaurants,CLAIMED
A & E Kitchen Service,,4178441017,"Billings, MO",,Restaurants,CLAIMED
Treehouse Enterprises,,,"Panama City, FL",,Restaurants,CLAIMED
III Marias Restaurant,,972-272-4310,"Garland, TX",,undefined,CLAIMED
Laguna Restaurant Inc,,3056385446,"Miami, FL",https://lagunar.com/,"Restaurant, Lunch Counters",CLAIMED
Qush Hookah Lounge,,503-384-2373,"Portland, OR",https://qushhookah.com/,undefined,CLAIMED
Cole Acres Golf & Supper Club,,6087442476,"Cuba City, WI",https://coleacres.com/,Restaurants,CLAIMED
Noodles Restaurant,,5032926480,"Portland, OR",,Ethnic Food Restaurants,CLAIMED
Bokamper's,,(954) 533-7152,"Plantation, FL",https://bokampers.com/,undefined,CLAIMED
Creole Flavor Sno,,3373261244,"Lafayette, LA",,Snow Cone Stands,CLAIMED
Subway,,4134672333,"Granby, MA",https://www.subway.com/,Sandwiches,CLAIMED
Motorcity Burgers & Co,,(248) 451-1424,"Pontiac, MI",https://motorcityburgers.com/,Restaurants,CLAIMED
"Food Service Diversified,LLC",,(410) 243-2333,"Baltimore, MD",,undefined,CLAIMED
Larry's Pizza Paragould,,(870) 236-8845,"Paragould, AR",https://larryspizza.com/,undefined,CLAIMED
Clever Catering,,(703) 938-5565,"Oakton, VA",https://clevercatering.com/,undefined,CLAIMED
Frances Lill Catering,,,"Gary, IN",,undefined,CLAIMED
Tastes of Greece,,949-495-2244,"Laguna Niguel, CA",https://tastesofgreece.com/,undefined,CLAIMED
Covered Dish LLC,,(801) 572-3357,"Draper, UT",https://covereddish.com/,undefined,CLAIMED
Whit-Mart Inc,,8437205010,"Charleston, SC",,Chain Family Restaurants,CLAIMED
Mon Chay Vietnamese Vegetarian Restaurant,,(831)622-7777,"Carmel, CA",https://monchay.com/,undefined,CLAIMED
Pita Pit,,316-201-4748,"Wichita, KS",https://www.pitapit.com/,undefined,CLAIMED
Butler Inn Restaurant,,(660) 200-7143,"Butler, MO",,undefined,CLAIMED
Mama Fu's Asian House,,(806)500-2028,"Lubbock, TX",https://mamafus.com/,Restaurants,CLAIMED
Gangnam BBQ,,(480) 470-5577,"Mesa, AZ",https://gangnambbq.com/,Korean Restaurants,CLAIMED
Green Leaf Café and Catering,,(858) 755-2755,"San Diego, CA",https://greenleafcafe.com/,Caterers,CLAIMED
Dairy Queen,,6088376011,"Sun Prairie, WI",https://www.dairyqueen.com/,Ice Cream Parlors,CLAIMED
Rawhide Saloon,,2099845113,"Jamestown, CA",https://rawhidesaloon.com/,Saloons,CLAIMED
Dickey's,,8045271318,"Glen Allen, VA",https://www.dickies.com/,Steak and Barbecue Restaurants,CLAIMED
Sacul Store,,(936) 326-4344,"Sacul, TX",,undefined,CLAIMED
WOW Cafe,,(504)304-9247,"New Orleans, LA",https://wowcafe.com/,Restaurants,CLAIMED
DaVinci's Italian Restaurant & Pizzaria,,(828)328-6101,"Hickory, NC",https://davincis.com/,undefined,CLAIMED
The Melting Pot,,2059818001,"Birmingham, AL",https://www.meltingpot.com/,Family Restaurants,CLAIMED
Los 3 Amigos,,(423) 521-7676,"Chattanooga, TN",https://los3amigos.com/,Spanish Restaurants,CLAIMED
Royal Taste Caribbean Restaurant,,862-955-3737,"Irvington, NJ",https://royaltastecaribbean.com/,Restaurants,CLAIMED
Chili's Grill & Bar,,8089229697,"Honolulu, HI",https://www.chilis.com/,undefined,CLAIMED
Red Maple Catering Dallas,,4692234790,"Aubrey, TX",https://redmaplecatering.com/,Caterers,CLAIMED
Dileo's Italian Deli LLC,,386-218-6999,"Orange City, FL",https://dileos.com/,undefined,CLAIMED
Super Lopez Food Products And Tortilla Factory Inc.,,(713) 921-1237,"Houston, TX",,undefined,CLAIMED
